route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
87-73,1806-Saturday-1-1806-0000010-,1325676,"Eastside Circulator",0,167133,870034
87-73,1806-Saturday-1-1806-0000010-,1325677,"Eastside Circulator",0,167133,870034
87-73,1806-Saturday-1-1806-0000010-,1325678,"Eastside Circulator",0,167133,870034
87-73,1806-Saturday-1-1806-0000010-,1325679,"Eastside Circulator",0,167133,870034
87-73,1806-Saturday-1-1806-0000010-,1325680,"Eastside Circulator",0,167133,870034
87-73,1806-Saturday-1-1806-0000010-,1325681,"Eastside Circulator",0,167133,870034
87-73,1806-Saturday-1-1806-0000010-,1325682,"Eastside Circulator",0,167133,870034
87-73,1806-Saturday-1-1806-0000010-,1325683,"Eastside Circulator",0,167129,870034
87-73,1806-Saturday-1-1806-0000010-,1325684,"Eastside Circulator",0,167129,870034
87-73,1806-Saturday-1-1806-0000010-,1325685,"Eastside Circulator",0,167129,870034
87-73,1806-Saturday-1-1806-0000010-,1325686,"Eastside Circulator",0,167129,870034
87-73,1806-Saturday-1-1806-0000010-,1325687,"Eastside Circulator",0,167140,870034
87-73,1806-Saturday-1-1806-0000010-,1325688,"Eastside Circulator",0,167140,870034
87-73,1806-Saturday-1-1806-0000010-,1325689,"Eastside Circulator",0,167133,870034
87-73,1806-Saturday-1-1806-0000010-,1325690,"Eastside Circulator",0,167133,870034
87-73,1806-Saturday-1-1806-0000010-,1325691,"Eastside Circulator",0,167133,870034
26-73,1806-Saturday-1-1806-0000010-,1325692,"Keystone Crossing",0,166776,260058
26-73,1806-Saturday-1-1806-0000010-,1325693,"Keystone Crossing",0,166775,260058
26-73,1806-Saturday-1-1806-0000010-,1325694,"Keystone Crossing",0,166776,260058
26-73,1806-Saturday-1-1806-0000010-,1325695,"Keystone Crossing",0,166775,260058
26-73,1806-Saturday-1-1806-0000010-,1325696,"Keystone Crossing",0,166776,260058
26-73,1806-Saturday-1-1806-0000010-,1325697,"Keystone Crossing",0,166793,260058
26-73,1806-Saturday-1-1806-0000010-,1325698,"Keystone Crossing",0,166823,260058
26-73,1806-Saturday-1-1806-0000010-,1325699,"Keystone Crossing",0,166793,260058
26-73,1806-Saturday-1-1806-0000010-,1325700,"Keystone Crossing",0,166791,260058
26-73,1806-Saturday-1-1806-0000010-,1325701,"Keystone Crossing",0,166789,260058
26-73,1806-Saturday-1-1806-0000010-,1325702,"Keystone Crossing",0,166791,260058
26-73,1806-Saturday-1-1806-0000010-,1325703,"Emerson/Thompson",1,166775,260057
26-73,1806-Saturday-1-1806-0000010-,1325704,"Emerson/Thompson",1,166776,260057
26-73,1806-Saturday-1-1806-0000010-,1325705,"Emerson/Thompson",1,166775,260057
26-73,1806-Saturday-1-1806-0000010-,1325706,"Emerson/Thompson",1,166776,260057
26-73,1806-Saturday-1-1806-0000010-,1325707,"Emerson/Thompson",1,166775,260057
26-73,1806-Saturday-1-1806-0000010-,1325708,"Emerson/Thompson",1,166823,260057
26-73,1806-Saturday-1-1806-0000010-,1325709,"Emerson/Thompson",1,166793,260057
26-73,1806-Saturday-1-1806-0000010-,1325710,"Emerson/Thompson",1,166823,260057
26-73,1806-Saturday-1-1806-0000010-,1325711,"Emerson/Thompson",1,166793,260057
26-73,1806-Saturday-1-1806-0000010-,1325712,"Emerson/Thompson",1,166791,260057
26-73,1806-Saturday-1-1806-0000010-,1325713,"Emerson/Thompson",1,166789,260057
86-73,1806-Saturday-1-1806-0000010-,1325714,"Community North",0,166780,860038
86-73,1806-Saturday-1-1806-0000010-,1325715,"Traders Point",1,166780,860039
86-73,1806-Saturday-1-1806-0000010-,1325716,"Traders Point",1,166780,860039
86-73,1806-Saturday-1-1806-0000010-,1325717,"Community North",0,166779,860038
86-73,1806-Saturday-1-1806-0000010-,1325718,"Traders Point",1,166779,860039
86-73,1806-Saturday-1-1806-0000010-,1325719,"Traders Point",1,166777,860039
86-73,1806-Saturday-1-1806-0000010-,1325720,"Traders Point",1,166780,860039
86-73,1806-Saturday-1-1806-0000010-,1325721,"Traders Point",1,166778,860039
86-73,1806-Saturday-1-1806-0000010-,1325722,"Traders Point",1,166779,860039
86-73,1806-Saturday-1-1806-0000010-,1325723,"Traders Point",1,166777,860039
86-73,1806-Saturday-1-1806-0000010-,1325724,"Traders Point",1,166778,860039
86-73,1806-Saturday-1-1806-0000010-,1325725,"Traders Point",1,166777,860039
86-73,1806-Saturday-1-1806-0000010-,1325726,"Traders Point",1,166779,860039
86-73,1806-Saturday-1-1806-0000010-,1325727,"Traders Point",1,166778,860039
86-73,1806-Saturday-1-1806-0000010-,1325728,"Traders Point",1,166777,860039
86-73,1806-Saturday-1-1806-0000010-,1325729,"Traders Point",1,166796,860039
86-73,1806-Saturday-1-1806-0000010-,1325730,"Traders Point",1,166778,860039
86-73,1806-Saturday-1-1806-0000010-,1325731,"Traders Point",1,166817,860039
86-73,1806-Saturday-1-1806-0000010-,1325732,"Traders Point",1,166781,860039
86-73,1806-Saturday-1-1806-0000010-,1325733,"Traders Point",1,166796,860039
86-73,1806-Saturday-1-1806-0000010-,1325734,"Traders Point",1,166782,860039
86-73,1806-Saturday-1-1806-0000010-,1325735,"Traders Point",1,166817,860039
86-73,1806-Saturday-1-1806-0000010-,1325736,"Traders Point",1,166781,860039
86-73,1806-Saturday-1-1806-0000010-,1325737,"Traders Point",1,166796,860039
86-73,1806-Saturday-1-1806-0000010-,1325738,"Traders Point",1,166782,860039
86-73,1806-Saturday-1-1806-0000010-,1325739,"Traders Point",1,166817,860039
86-73,1806-Saturday-1-1806-0000010-,1325740,"Traders Point",1,166781,860039
86-73,1806-Saturday-1-1806-0000010-,1325741,"Traders Point",1,166779,860039
86-73,1806-Saturday-1-1806-0000010-,1325742,"Traders Point",1,166782,860039
86-73,1806-Saturday-1-1806-0000010-,1325743,"Traders Point",1,166781,860039
86-73,1806-Saturday-1-1806-0000010-,1325744,"Traders Point",1,166782,860039
86-73,1806-Saturday-1-1806-0000010-,1325745,"Traders Point",1,166780,860039
86-73,1806-Saturday-1-1806-0000010-,1325746,"Traders Point",1,166779,860039
86-73,1806-Saturday-1-1806-0000010-,1325747,"Community North",0,166780,860038
86-73,1806-Saturday-1-1806-0000010-,1325748,"Community North",0,166780,860038
86-73,1806-Saturday-1-1806-0000010-,1325749,"Community North",0,166778,860038
86-73,1806-Saturday-1-1806-0000010-,1325750,"Community North",0,166779,860038
86-73,1806-Saturday-1-1806-0000010-,1325751,"Community North",0,166777,860038
86-73,1806-Saturday-1-1806-0000010-,1325752,"Community North",0,166780,860038
86-73,1806-Saturday-1-1806-0000010-,1325753,"Community North",0,166778,860038
86-73,1806-Saturday-1-1806-0000010-,1325754,"Community North",0,166777,860038
86-73,1806-Saturday-1-1806-0000010-,1325755,"Community North",0,166779,860038
86-73,1806-Saturday-1-1806-0000010-,1325756,"Community North",0,166778,860038
86-73,1806-Saturday-1-1806-0000010-,1325757,"Community North",0,166780,860038
86-73,1806-Saturday-1-1806-0000010-,1325758,"Community North",0,166777,860038
86-73,1806-Saturday-1-1806-0000010-,1325759,"Community North",0,166779,860038
86-73,1806-Saturday-1-1806-0000010-,1325760,"Community North",0,166778,860038
86-73,1806-Saturday-1-1806-0000010-,1325761,"Community North",0,166777,860038
86-73,1806-Saturday-1-1806-0000010-,1325762,"Community North",0,166796,860038
