route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
26-92,2006-Saturday-1-2006-0000010-,1712931,"Keystone Crossing",0,201013,260112
26-92,2006-Saturday-1-2006-0000010-,1712932,"Keystone Crossing",0,201036,260112
26-92,2006-Saturday-1-2006-0000010-,1712933,"Keystone Crossing",0,201013,260112
26-92,2006-Saturday-1-2006-0000010-,1712934,"Keystone Crossing",0,201036,260112
26-92,2006-Saturday-1-2006-0000010-,1712935,"Keystone Crossing",0,201013,260112
26-92,2006-Saturday-1-2006-0000010-,1712936,"Keystone Crossing",0,201047,260112
26-92,2006-Saturday-1-2006-0000010-,1712937,"Keystone Crossing",0,201048,260112
26-92,2006-Saturday-1-2006-0000010-,1712938,"Keystone Crossing",0,201047,260112
26-92,2006-Saturday-1-2006-0000010-,1712939,"Keystone Crossing",0,201048,260112
26-92,2006-Saturday-1-2006-0000010-,1712940,"Keystone Crossing",0,201047,260112
26-92,2006-Saturday-1-2006-0000010-,1712941,"Keystone Crossing",0,201048,260112
26-92,2006-Saturday-1-2006-0000010-,1712942,"Emerson & Thompson",1,201036,260111
26-92,2006-Saturday-1-2006-0000010-,1712943,"Emerson & Thompson",1,201013,260111
26-92,2006-Saturday-1-2006-0000010-,1712944,"Emerson & Thompson",1,201036,260111
26-92,2006-Saturday-1-2006-0000010-,1712945,"Emerson & Thompson",1,201013,260111
26-92,2006-Saturday-1-2006-0000010-,1712946,"Emerson & Thompson",1,201036,260111
26-92,2006-Saturday-1-2006-0000010-,1712947,"Emerson & Thompson",1,201013,260111
26-92,2006-Saturday-1-2006-0000010-,1712948,"Emerson & Thompson",1,201047,260111
26-92,2006-Saturday-1-2006-0000010-,1712949,"Emerson & Thompson",1,201048,260111
26-92,2006-Saturday-1-2006-0000010-,1712950,"Emerson & Thompson",1,201047,260111
26-92,2006-Saturday-1-2006-0000010-,1712951,"Emerson & Thompson",1,201048,260111
26-92,2006-Saturday-1-2006-0000010-,1712952,"Emerson & Thompson",1,201047,260111
86-92,2006-Saturday-1-2006-0000010-,1712953,"Community North",0,201025,860054
86-92,2006-Saturday-1-2006-0000010-,1712954,"Traders Point",1,201017,860052
86-92,2006-Saturday-1-2006-0000010-,1712955,"Traders Point",1,201025,860052
86-92,2006-Saturday-1-2006-0000010-,1712956,"Community North",0,201054,860054
86-92,2006-Saturday-1-2006-0000010-,1712957,"Traders Point",1,201016,860052
86-92,2006-Saturday-1-2006-0000010-,1712958,"Traders Point",1,201014,860052
86-92,2006-Saturday-1-2006-0000010-,1712959,"Traders Point",1,201017,860052
86-92,2006-Saturday-1-2006-0000010-,1712960,"Traders Point",1,201015,860052
86-92,2006-Saturday-1-2006-0000010-,1712961,"Traders Point",1,201016,860052
86-92,2006-Saturday-1-2006-0000010-,1712962,"Traders Point",1,201014,860052
86-92,2006-Saturday-1-2006-0000010-,1712963,"Traders Point",1,201015,860052
86-92,2006-Saturday-1-2006-0000010-,1712964,"Traders Point",1,201029,860052
86-92,2006-Saturday-1-2006-0000010-,1712965,"Traders Point",1,201016,860052
86-92,2006-Saturday-1-2006-0000010-,1712966,"Traders Point",1,201015,860052
86-92,2006-Saturday-1-2006-0000010-,1712967,"Traders Point",1,201029,860052
86-92,2006-Saturday-1-2006-0000010-,1712968,"Traders Point",1,201016,860052
86-92,2006-Saturday-1-2006-0000010-,1712969,"Traders Point",1,201015,860052
86-92,2006-Saturday-1-2006-0000010-,1712970,"Traders Point",1,201017,860052
86-92,2006-Saturday-1-2006-0000010-,1712971,"Traders Point",1,201029,860052
86-92,2006-Saturday-1-2006-0000010-,1712972,"Traders Point",1,201054,860052
86-92,2006-Saturday-1-2006-0000010-,1712973,"Traders Point",1,201018,860052
86-92,2006-Saturday-1-2006-0000010-,1712974,"Traders Point",1,201025,860052
86-92,2006-Saturday-1-2006-0000010-,1712975,"Traders Point",1,201055,860052
86-92,2006-Saturday-1-2006-0000010-,1712976,"Traders Point",1,201054,860052
86-92,2006-Saturday-1-2006-0000010-,1712977,"Traders Point",1,201018,860052
86-92,2006-Saturday-1-2006-0000010-,1712978,"Traders Point",1,201025,860052
86-92,2006-Saturday-1-2006-0000010-,1712979,"Traders Point",1,201055,860052
86-92,2006-Saturday-1-2006-0000010-,1712980,"Traders Point",1,201054,860052
86-92,2006-Saturday-1-2006-0000010-,1712981,"Traders Point",1,201018,860052
86-92,2006-Saturday-1-2006-0000010-,1712982,"Traders Point",1,201014,860052
86-92,2006-Saturday-1-2006-0000010-,1712983,"Traders Point",1,201041,860052
86-92,2006-Saturday-1-2006-0000010-,1712984,"Traders Point",1,201017,860052
86-92,2006-Saturday-1-2006-0000010-,1712985,"Traders Point",1,201054,860052
86-92,2006-Saturday-1-2006-0000010-,1712986,"Community North",0,201017,860054
86-92,2006-Saturday-1-2006-0000010-,1712987,"Community North",0,201017,860054
86-92,2006-Saturday-1-2006-0000010-,1712988,"Community North",0,201015,860054
86-92,2006-Saturday-1-2006-0000010-,1712989,"Community North",0,201016,860054
86-92,2006-Saturday-1-2006-0000010-,1712990,"Community North",0,201014,860054
86-92,2006-Saturday-1-2006-0000010-,1712991,"Community North",0,201017,860054
86-92,2006-Saturday-1-2006-0000010-,1712992,"Community North",0,201015,860054
86-92,2006-Saturday-1-2006-0000010-,1712993,"Community North",0,201014,860054
86-92,2006-Saturday-1-2006-0000010-,1712994,"Community North",0,201016,860054
86-92,2006-Saturday-1-2006-0000010-,1712995,"Community North",0,201015,860054
86-92,2006-Saturday-1-2006-0000010-,1712996,"Community North",0,201017,860054
86-92,2006-Saturday-1-2006-0000010-,1712997,"Community North",0,201029,860054
86-92,2006-Saturday-1-2006-0000010-,1712998,"Community North",0,201016,860054
86-92,2006-Saturday-1-2006-0000010-,1712999,"Community North",0,201015,860054
86-92,2006-Saturday-1-2006-0000010-,1713000,"Community North",0,201029,860054
86-92,2006-Saturday-1-2006-0000010-,1713001,"Community North",0,201016,860054
86-92,2006-Saturday-1-2006-0000010-,1713002,"Community North",0,201018,860054
86-92,2006-Saturday-1-2006-0000010-,1713003,"Community North",0,201025,860054
86-92,2006-Saturday-1-2006-0000010-,1713004,"Community North",0,201055,860054
86-92,2006-Saturday-1-2006-0000010-,1713005,"Community North",0,201054,860054
86-92,2006-Saturday-1-2006-0000010-,1713006,"Community North",0,201018,860054
86-92,2006-Saturday-1-2006-0000010-,1713007,"Community North",0,201025,860054
86-92,2006-Saturday-1-2006-0000010-,1713008,"Community North",0,201055,860054
86-92,2006-Saturday-1-2006-0000010-,1713009,"Community North",0,201054,860054
86-92,2006-Saturday-1-2006-0000010-,1713010,"Community North",0,201018,860054
86-92,2006-Saturday-1-2006-0000010-,1713011,"Community North",0,201025,860054
86-92,2006-Saturday-1-2006-0000010-,1713012,"Community North",0,201055,860054
86-92,2006-Saturday-1-2006-0000010-,1713013,"Community North",0,201046,860054
86-92,2006-Saturday-1-2006-0000010-,1713014,"Community North",0,201014,860054
2-92,2006-Saturday-1-2006-0000010-,1713015,"Transit Center",0,201019,20239
2-92,2006-Saturday-1-2006-0000010-,1713016,"Transit Center",0,201019,20239
2-92,2006-Saturday-1-2006-0000010-,1713017,"Transit Center",0,201023,20239
2-92,2006-Saturday-1-2006-0000010-,1713018,"Transit Center",0,201020,20239
2-92,2006-Saturday-1-2006-0000010-,1713019,"Transit Center",0,201023,20239
2-92,2006-Saturday-1-2006-0000010-,1713020,"Transit Center",0,201019,20239
2-92,2006-Saturday-1-2006-0000010-,1713021,"Western Select",1,201019,20226
2-92,2006-Saturday-1-2006-0000010-,1713022,"Western Select",1,201069,20226
2-92,2006-Saturday-1-2006-0000010-,1713023,"Transit Center",0,201020,20239
2-92,2006-Saturday-1-2006-0000010-,1713024,"Transit Center",0,201023,20239
2-92,2006-Saturday-1-2006-0000010-,1713025,"Transit Center",0,201019,20239
2-92,2006-Saturday-1-2006-0000010-,1713026,"Transit Center",0,201020,20239
2-92,2006-Saturday-1-2006-0000010-,1713027,"Transit Center",0,201023,20239
2-92,2006-Saturday-1-2006-0000010-,1713028,"Transit Center",0,201019,20239
2-92,2006-Saturday-1-2006-0000010-,1713029,"Transit Center",0,201020,20239
2-92,2006-Saturday-1-2006-0000010-,1713030,"Transit Center",0,201023,20239
2-92,2006-Saturday-1-2006-0000010-,1713031,"Transit Center",0,201019,20239
2-92,2006-Saturday-1-2006-0000010-,1713032,"Transit Center",0,201020,20239
2-92,2006-Saturday-1-2006-0000010-,1713033,"Transit Center",0,201023,20239
2-92,2006-Saturday-1-2006-0000010-,1713034,"Transit Center",0,201019,20239
2-92,2006-Saturday-1-2006-0000010-,1713035,"Transit Center",0,201020,20239
2-92,2006-Saturday-1-2006-0000010-,1713036,"Transit Center",0,201023,20239
2-92,2006-Saturday-1-2006-0000010-,1713037,"Transit Center",0,201019,20239
2-92,2006-Saturday-1-2006-0000010-,1713038,"Transit Center",0,201020,20239
2-92,2006-Saturday-1-2006-0000010-,1713039,"Transit Center",0,201023,20239
2-92,2006-Saturday-1-2006-0000010-,1713040,"Transit Center",0,201019,20239
2-92,2006-Saturday-1-2006-0000010-,1713041,"Transit Center",0,201020,20239
2-92,2006-Saturday-1-2006-0000010-,1713042,"Transit Center",0,201069,20239
2-92,2006-Saturday-1-2006-0000010-,1713043,"Transit Center",0,201069,20239
2-92,2006-Saturday-1-2006-0000010-,1713044,"Transit Center",0,201019,20239
2-92,2006-Saturday-1-2006-0000010-,1713045,"Western Select",1,201019,20226
2-92,2006-Saturday-1-2006-0000010-,1713046,"Western Select",1,201023,20226
2-92,2006-Saturday-1-2006-0000010-,1713047,"Western Select",1,201019,20226
2-92,2006-Saturday-1-2006-0000010-,1713048,"Western Select",1,201020,20226
2-92,2006-Saturday-1-2006-0000010-,1713049,"Western Select",1,201023,20226
2-92,2006-Saturday-1-2006-0000010-,1713050,"Western Select",1,201019,20226
2-92,2006-Saturday-1-2006-0000010-,1713051,"Western Select",1,201020,20226
2-92,2006-Saturday-1-2006-0000010-,1713052,"Western Select",1,201023,20226
2-92,2006-Saturday-1-2006-0000010-,1713053,"Western Select",1,201019,20226
2-92,2006-Saturday-1-2006-0000010-,1713054,"Western Select",1,201020,20226
2-92,2006-Saturday-1-2006-0000010-,1713055,"Western Select",1,201023,20226
2-92,2006-Saturday-1-2006-0000010-,1713056,"Western Select",1,201019,20226
2-92,2006-Saturday-1-2006-0000010-,1713057,"Western Select",1,201020,20226
2-92,2006-Saturday-1-2006-0000010-,1713058,"Western Select",1,201023,20226
2-92,2006-Saturday-1-2006-0000010-,1713059,"Western Select",1,201019,20226
2-92,2006-Saturday-1-2006-0000010-,1713060,"Western Select",1,201020,20226
2-92,2006-Saturday-1-2006-0000010-,1713061,"Western Select",1,201023,20226
2-92,2006-Saturday-1-2006-0000010-,1713062,"Western Select",1,201019,20226
2-92,2006-Saturday-1-2006-0000010-,1713063,"Western Select",1,201020,20226
2-92,2006-Saturday-1-2006-0000010-,1713064,"Western Select",1,201023,20226
2-92,2006-Saturday-1-2006-0000010-,1713065,"Western Select",1,201019,20226
2-92,2006-Saturday-1-2006-0000010-,1713066,"Western Select",1,201020,20226
2-92,2006-Saturday-1-2006-0000010-,1713067,"Western Select",1,201023,20226
2-92,2006-Saturday-1-2006-0000010-,1713068,"Western Select",1,201019,20226
2-92,2006-Saturday-1-2006-0000010-,1713069,"Western Select",1,201020,20226
4-92,2006-Saturday-1-2006-0000010-,1713070,"Transit Center",0,201041,40251
4-92,2006-Saturday-1-2006-0000010-,1713071,"Transit Center",0,201041,40251
4-92,2006-Saturday-1-2006-0000010-,1713072,"Transit Center",0,201041,40251
4-92,2006-Saturday-1-2006-0000010-,1713073,"Transit Center",0,201041,40251
4-92,2006-Saturday-1-2006-0000010-,1713074,"Transit Center",0,201029,40251
4-92,2006-Saturday-1-2006-0000010-,1713075,"Transit Center",0,201014,40257
4-92,2006-Saturday-1-2006-0000010-,1713076,"Transit Center",0,201014,40257
4-92,2006-Saturday-1-2006-0000010-,1713077,"Transit Center",0,201041,40257
4-92,2006-Saturday-1-2006-0000010-,1713078,"Transit Center",0,201041,40251
4-92,2006-Saturday-1-2006-0000010-,1713079,"Transit Center",0,201055,40257
4-92,2006-Saturday-1-2006-0000010-,1713080,"Transit Center",0,201029,40251
4-92,2006-Saturday-1-2006-0000010-,1713081,"Transit Center",0,201014,40257
4-92,2006-Saturday-1-2006-0000010-,1713082,"Transit Center",0,201014,40251
4-92,2006-Saturday-1-2006-0000010-,1713083,"Transit Center",0,201055,40257
4-92,2006-Saturday-1-2006-0000010-,1713084,"Community Hosp North",1,201014,40258
4-92,2006-Saturday-1-2006-0000010-,1713085,"Community Hosp North",1,201055,40258
4-92,2006-Saturday-1-2006-0000010-,1713086,"Transit Center",0,201041,40251
4-92,2006-Saturday-1-2006-0000010-,1713087,"Transit Center",0,201014,40257
4-92,2006-Saturday-1-2006-0000010-,1713088,"Ivy Tech Lawrence",1,201029,40260
4-92,2006-Saturday-1-2006-0000010-,1713089,"Ivy Tech Lawrence",1,201041,40260
4-92,2006-Saturday-1-2006-0000010-,1713090,"Ivy Tech Lawrence",1,201041,40260
4-92,2006-Saturday-1-2006-0000010-,1713091,"Ivy Tech Lawrence",1,201041,40260
4-92,2006-Saturday-1-2006-0000010-,1713092,"Ivy Tech Lawrence",1,201041,40260
4-92,2006-Saturday-1-2006-0000010-,1713093,"Ivy Tech Lawrence",1,201014,40260
4-92,2006-Saturday-1-2006-0000010-,1713094,"Ivy Tech Lawrence",1,201041,40260
4-92,2006-Saturday-1-2006-0000010-,1713095,"Community Hosp North",1,201029,40258
4-92,2006-Saturday-1-2006-0000010-,1713096,"Community Hosp North",1,201014,40258
4-92,2006-Saturday-1-2006-0000010-,1713097,"Community Hosp North",1,201014,40258
4-92,2006-Saturday-1-2006-0000010-,1713098,"Community Hosp North",1,201014,40258
4-92,2006-Saturday-1-2006-0000010-,1713099,"Community Hosp North",1,201041,40258
16-92,2006-Saturday-1-2006-0000010-,1713100,"Transit Center",0,201037,160185
16-92,2006-Saturday-1-2006-0000010-,1713101,"Transit Center",0,201038,160185
16-92,2006-Saturday-1-2006-0000010-,1713102,"Transit Center",0,201037,160185
16-92,2006-Saturday-1-2006-0000010-,1713103,"Transit Center",0,201038,160185
16-92,2006-Saturday-1-2006-0000010-,1713104,"Transit Center",0,201037,160185
16-92,2006-Saturday-1-2006-0000010-,1713105,"Transit Center",0,201038,160185
16-92,2006-Saturday-1-2006-0000010-,1713106,"Transit Center",0,201037,160185
16-92,2006-Saturday-1-2006-0000010-,1713107,"Transit Center",0,201038,160185
16-92,2006-Saturday-1-2006-0000010-,1713108,"Transit Center",0,201037,160185
16-92,2006-Saturday-1-2006-0000010-,1713109,"Transit Center",0,201038,160185
16-92,2006-Saturday-1-2006-0000010-,1713110,"Transit Center",0,201037,160185
16-92,2006-Saturday-1-2006-0000010-,1713111,"Transit Center",0,201038,160185
16-92,2006-Saturday-1-2006-0000010-,1713112,"Transit Center",0,201037,160185
16-92,2006-Saturday-1-2006-0000010-,1713113,"Emerson & Co Line Rd",1,201037,160184
16-92,2006-Saturday-1-2006-0000010-,1713114,"Emerson & Co Line Rd",1,201037,160184
16-92,2006-Saturday-1-2006-0000010-,1713115,"Emerson & Co Line Rd",1,201038,160184
16-92,2006-Saturday-1-2006-0000010-,1713116,"Emerson & Co Line Rd",1,201037,160184
16-92,2006-Saturday-1-2006-0000010-,1713117,"Emerson & Co Line Rd",1,201038,160184
16-92,2006-Saturday-1-2006-0000010-,1713118,"Emerson & Co Line Rd",1,201037,160184
16-92,2006-Saturday-1-2006-0000010-,1713119,"Emerson & Co Line Rd",1,201038,160184
16-92,2006-Saturday-1-2006-0000010-,1713120,"Emerson & Co Line Rd",1,201037,160184
16-92,2006-Saturday-1-2006-0000010-,1713121,"Emerson & Co Line Rd",1,201038,160184
16-92,2006-Saturday-1-2006-0000010-,1713122,"Emerson & Co Line Rd",1,201037,160184
16-92,2006-Saturday-1-2006-0000010-,1713123,"Emerson & Co Line Rd",1,201038,160184
16-92,2006-Saturday-1-2006-0000010-,1713124,"Emerson & Co Line Rd",1,201037,160184
16-92,2006-Saturday-1-2006-0000010-,1713125,"Emerson & Co Line Rd",1,201038,160184
28-92,2006-Saturday-1-2006-0000010-,1713126,"Transit Center",0,201022,280180
28-92,2006-Saturday-1-2006-0000010-,1713127,"Transit Center",0,201024,280180
